epochId,T2_raw,T2_scaled,T3_total,epoch_all_total,epoch_unmapped_total,our_sum,match,sma_T2_raw,sma_T2_scaled,sma_T3_total,T2_alltime_pct,T3_alltime_pct,rolling_pct_T2,rolling_pct_T3,rolling_pctchg_sma_T2_scaled,rolling_pctchg_sma_T3
76,17149134,8574567.0,5026029,22175163,0,22175163,True,17149134.0,8574567.0,5026029.0,60.62897035737823,39.37102964262177,63.045523887335534,36.95447611266447,-9.70292921691167,5.563475990024469
77,13443928,6721964.0,6331440,19775368,0,19775368,True,15296531.0,7648265.5,5678734.5,60.62897035737823,39.37102964262177,57.270697118278164,42.72930288172184,-9.70292921691167,5.563475990024469
78,16050566,8025283.0,5356482,21407048,0,21407048,True,15547876.0,7773938.0,5571317.0,60.62897035737823,39.37102964262177,58.1710589110368,41.828941088963205,-9.70292921691167,5.563475990024469
79,22607021,11303510.5,5631979,28239000,0,28239000,True,17312662.25,8656331.125,5586482.5,60.62897035737823,39.37102964262177,60.3144231847452,39.685576815254805,-9.70292921691167,5.563475990024469
80,19730074,9865037.0,5389471,25119545,0,25119545,True,17796144.6,8898072.3,5547080.2,60.62897035737823,39.37102964262177,61.18546863587242,38.81453136412758,-9.70292921691167,5.563475990024469
81,29278253,14639126.5,8417310,37695563,0,37695563,True,19709829.333333332,9854914.666666666,6025451.833333333,60.62897035737823,39.37102964262177,61.569987276139216,38.43001272386079,-9.70292921691167,5.563475990024469
82,6960093,3480046.5,4143840,11103933,0,11103933,True,17888438.42857143,8944219.214285715,5756650.142857143,60.62897035737823,39.37102964262177,59.295220522618095,40.70477947738191,-9.70292921691167,5.563475990024469
83,7153535,3576767.5,2446100,9599635,0,9599635,True,16546575.5,8273287.75,5342831.375,60.62897035737823,39.37102964262177,59.306624837277816,40.69337516272219,-9.70292921691167,5.563475990024469
84,12496879,6248439.5,4239820,16736699,0,16736699,True,16096609.222222222,8048304.611111111,5220274.555555556,60.62897035737823,39.37102964262177,59.33650670066023,40.66349329933977,-9.70292921691167,5.563475990024469
85,12830299,6415149.5,3561582,16391881,0,16391881,True,15769978.2,7884989.1,5054405.3,60.62897035737823,39.37102964262177,59.83296743531628,40.167032564683716,-9.70292921691167,5.563475990024469
86,9584155,4792077.5,3038138,12622293,0,12622293,True,15207630.636363637,7603815.318181818,4871108.2727272725,60.62897035737823,39.37102964262177,59.95722642081571,40.042773579184285,-9.70292921691167,5.563475990024469
87,16206811,8103405.5,7935602,24142413,0,24142413,True,15290895.666666666,7645447.833333333,5126482.75,60.62897035737823,39.37102964262177,59.1710501032627,40.8289498967373,-9.70292921691167,5.563475990024469
88,19480374,9740187.0,7176047,26656421,0,26656421,True,15485165.666666666,7742582.833333333,5305650.916666667,60.62897035737823,39.37102964262177,58.71550084246212,41.28449915753789,-9.70292921691167,5.563475990024469
89,50184862,25092431.0,12530659,62715521,0,62715521,True,18546910.166666668,9273455.083333334,5822252.5,60.62897035737823,39.37102964262177,59.982030995494334,40.01796900450568,21.249126136289775,2.5272884301951404
90,48330236,24165118.0,11870638,60200874,0,60200874,True,21236882.666666668,10618441.333333334,6365098.833333333,60.62897035737823,39.37102964262177,60.57260941772655,39.427390582273446,36.590249797893094,14.24765155767178
91,36180437,18090218.5,12635473,48815910,0,48815910,True,22368000.666666668,11184000.333333334,6948723.333333333,60.62897035737823,39.37102964262177,59.91694324632622,40.083056753673766,29.200237050004652,24.38458964712291
92,13347428,6673714.0,5714267,19061695,0,19061695,True,21836113.5,10918056.75,6975789.666666667,60.62897035737823,39.37102964262177,59.01717999372892,40.982820006271076,22.70137150942231,25.75606292237611
93,8039241,4019620.5,3535762,11575003,0,11575003,True,20066195.833333332,10033097.916666666,6568994.0,60.62897035737823,39.37102964262177,58.15963813070011,41.840361869299876,1.8080648694269064,9.020770254269461
94,6072274,3036137.0,2726040,8798314,0,8798314,True,19992210.916666668,9996105.458333334,6450844.0,60.62897035737823,39.37102964262177,58.74665290103874,41.25334709896124,11.76051501921538,12.058989862432657
95,13111809,6555904.5,4271627,17383436,0,17383436,True,20488733.75,10244366.875,6602971.25,60.62897035737823,39.37102964262177,58.843487356351375,41.156512643648625,23.82461706351262,23.585619431981407
96,10393467,5196733.5,3483684,13877151,0,13877151,True,20313449.416666668,10156724.708333334,6539959.916666667,60.62897035737823,39.37102964262177,58.86780072653223,41.13219927346777,26.19707129761761,25.279999108603725
97,14322506,7161253.0,5372242,19694748,0,19694748,True,20437800.0,10218900.0,6690848.25,60.62897035737823,39.37102964262177,58.27078454838141,41.7292154516186,29.599418216063246,32.37656762507748
