epoch,burn_tokens,burn_usd,sma_burns,g_growth,share_T2,share_T3,nodes_T2,nodes_T3,hours_T2,hours_T3,avg_nodes_T2,avg_nodes_T3,avg_hours_per_wallet_T2,avg_hours_per_wallet_T3,avg_hpw_T2,avg_hpw_T3,r2,r3,x2,x3,anchor_prelogic,policy
27,1783.7669309300004,13883.02969051189,2132.878442954166,-0.016621537684332832,0.7262204240760589,0.27377957592394103,62.0,127.0,0.0,0.0,63.0,126.25,0.0,0.0,0.0,0.0,0.0,0.0729461756373937,0.0,0.0,2097.4267235385023,35900.0
28,4743.326014869999,35972.743794326234,2248.3643625633326,-0.023720769901133698,0.8145276163660693,0.1854723836339308,62.0,126.0,0.0,0.0,62.833333333333336,126.25,0.0,0.0,0.0,0.0,-0.006587615283267456,0.057960893854748674,0.0,0.0,2195.031428865059,35900.0
29,1791.8171300800009,12397.715909090888,2293.8142229649998,0.05770810172695162,0.37888252066946476,0.6211174793305353,57.0,135.0,0.0,0.0,62.583333333333336,127.58333333333333,0.0,0.0,0.0,0.0,-0.006613756613756627,0.06913407821229045,0.0,0.0,2426.1858874865925,35900.0
30,2323.1666183800016,14824.58483213438,2386.421624090833,0.16870243044478683,0.7481324837621245,0.25186751623787557,62.0,123.0,0.0,0.0,62.5,128.08333333333334,0.0,0.0,0.0,0.0,-0.0066225165562913135,0.07784011220196363,0.0,0.0,2789.016752140952,35900.0
31,1395.4273426700001,12954.663346721798,2343.1273432908333,0.2069326874391766,0.7496995170537675,0.2503004829462325,61.0,121.0,0.0,0.0,62.333333333333336,127.33333333333333,0.0,0.0,0.0,0.0,-0.009271523178807861,0.06332637439109257,0.0,0.0,2827.9969814502238,35900.0
32,6131.40339617,31401.88568260536,2678.7414684574996,0.34812300737384816,0.6273077028243568,0.3726922971756433,64.0,134.0,0.0,0.0,62.416666666666664,128.08333333333334,0.0,0.0,0.0,0.0,-0.0092592592592593,0.0644044321329642,0.0,0.0,3611.273004433963,35900.0
33,7913.627162829998,52014.04378885392,3147.6781889999997,0.5174348780709384,0.7624098427484645,0.2375901572515355,62.0,119.0,0.0,0.0,62.333333333333336,128.08333333333334,0.0,0.0,0.0,0.0,-0.011889035667106973,0.06146408839779016,0.0,0.0,4776.396668931767,35900.0
34,7357.332258520003,34808.335668754895,3659.5381875774997,0.8284787174224444,0.7594738154599613,0.2405261845400387,63.0,118.0,0.0,0.0,62.166666666666664,126.58333333333333,0.0,0.0,0.0,0.0,-0.017127799736495475,0.03192934782608692,0.0,0.0,6691.387691580163,35900.0
35,2560.97382406,19017.790044493708,3731.2131242733335,0.9385427105794117,0.7936584776548715,0.2063415223451284,62.0,121.0,0.0,0.0,62.0,126.25,0.0,0.0,0.0,0.0,-0.01976284584980237,0.024340770791074995,0.0,0.0,7233.116003678303,35900.0
36,1751.6564833900002,11802.224843645294,3611.433299805,0.7745087780592925,0.7861281683514048,0.2138718316485952,62.0,118.0,0.0,0.0,62.0,125.25,0.0,0.0,0.0,0.0,-0.01976284584980237,0.008724832214765055,0.0,0.0,6408.520091879609,27600.0
