wallet,tier,newer_node
5mhxd5sfktkx2vfvlxntm1carrcdk9ac55gjljskvtgn,T2,False
5mxfapgklzucnqdjiuhbceo2b448hxjh1tuhwr12hbpi,T3,False
5o3qp29w9nuztbdoj4xcrqgmyhkw5cukqadwckeftbxk,T3,False
5oacjc1glqqkcuejqztvdqbhfxmqib6wespdjqhf6uu1,T3,False
5ueo42cm52usnggztt34vcs4eeptxdr5gjjz3zajl4tu,T3,False
5uhycnc9wppyr22rbn1rkmzb6gkd44rtmlqjs6pkmvb7,T2,False
5upealdz4evnryp8dzbpaaycprtly9hy1wfunhnvfmcs,T3,False
5xsd3ggc5tkplnpce4b3fwpgeujauvben5zjlm5gy8ak,T3,False
5xxp6fzkserudaqpwckakudzg4ozaephrvh1tnwswhko,T2,False
5ywccmrwnbc8fasik8th4uyf6w81mqeeswqzlhueej59,T3,False
63umisxvhkkn7hgimmxk5nlw7wpcj28veycysoseq7vj,T2,False
65uzq5eo4k8dlspevrn73gjwjwuirxjphyz5ydjx1sm3,T3,False
69f7mbmhrckcxwuchlfdrtfeqnfqnre2tcjdogziul7s,T2,False
6be41fehm6cysvnwsyjdkeryokflsqsxrv2wkhih6gc5,T2,False
6br61ghqouvx3pzamzicjr76xahvdryaslc3te7jesfm,T3,False
6c3yucwdawysejkxgyrgaekctbfpbahcxt6gzgzx7qfk,T3,False
6cff6x1vprmewsxjvctifdr4bq3bruvjymakruh4exsl,T2,False
6cjrquwo9sf5zonvcuvbgtvusbepfb21a4d8uiy9yk2u,T3,False
6fut4a536hbdidftlq426xqxagtyghofugamwbtunpec,T3,False
6gykxsjkwkmrmvqqzxp6gfu9j72eh3zgaivxzd2xmerk,T3,False
6gzyphkczfn1j5o3uecdhnyhw5mksws9qp7j537nc2re,T3,False
6it6mwxlte5hdwmkgdg9mqkmew6tmivdj3hhzkdir1pt,T3,False
6kwrjlgsapuntrxi6wcupweh7svn33g2zecs8ncvhwsc,T2,False
6tfdsgzrnfzjzocp7mtsfyvteih6knkra91kqy9zrt3a,T2,False
6wqmazygldbaaepxy48v74nqj3bwfombhyfrwqx4wk55,T2,False
6yr5kldyqcpnmwsvtc6sqnvawjvzbptymrxtog69bn3d,T3,False
6yvggxrgzbsghsuddsjhauaw54s7pd5yrad96ja8uaws,T2,False
6zb1und1kchjyzjxscdcgrk1zyvnvz55v3qu5qxey5cz,T3,False
6zhchbttibh3jdpscpwmwwkvfzu1bgtzc8qlelxccpci,T3,False
6zw1ix46yqqnxbl6vqxmijqd4ayytcvy4bhsnoxkuf2j,T3,False
71pxsznvghaqsg16tcd2j1hdp1tlaiqdyukbgej66opf,T3,False
748svwjsc3vbmfsrfzhvjgzabnd5mhyzzqklybeadvui,T2,False
74d2pjr2bdv42ge9hzijfvccwueh3oc1gpnfecomcqde,T2,False
78duhuyhufwgdcn6pnzybttkrfxmpsyohmwbzu4lapfj,T3,False
78uhhtg7ccsuyb8rvl92evcdyqk4qywhm89spodmh1ev,T3,False
79z4fj3rd5jpsqfllk4tygviv8tqpkw1kxwerh4j6cak,T3,False
7c1yxh8j7fxnt8ycussvknqxadpplhxliwrfxw1neguw,T3,False
7czxwpthxuwoof8lcduabtwsbyu4hawsaybvhn4ejbg9,T2,False
7d9tq8udscnokm52cr6duq26z4kpgjz45e44b6zpsqff,T3,False
7dhwquc7sejhf4ttnkndvzyftnwrmp5hvqrmhenrfqxa,T3,False
7fxkr8sibaymoefmyrag6u1vfpzdd5p3ndrsp5d4yqhv,T2,False
7fzbx1feb1bsewzzv7dzm9fod8goe5kuzajskzcg6acx,T3,False
7j21gclobytcamf8lwwi1psmpnzeuw7thd9tjniyaggg,T3,False
7jvojyxitq5p5z3vd2awzd6c3d6rlanlysnl5wjrz74k,T3,False
7mjzgby5v9rg3c5ekuvuakwysckpnugrkfmewvytpsqa,T3,False
7qx6a6njf6n4jdjxhylj8f6cjxxflsjzp7vefstvkptb,T2,False
7sbpr8zudwhxsuzxvjart8v1rlrnadepbaxtm3ems913,T2,False
7usnage8hgz2ju4iejgrzpoikgtcf8nwdg3edqn7yhaf,T2,False
